"Age","Height","Weight","Female","Gold","Silver","Bronze","Total","Sport","Event","Color","Symbol","FirstEvent","kfold"
23,180,79,0,0,0,0,0,"Athletics","Men's 100m, Men's 200m, Men's 4 x 100m Relay","#377EB8",15,"Men's 100m",6
20,173,65,1,0,0,0,0,"Swimming","Women's 200m Butterfly","#FFFF33",17,"Women's 200m Butterfly",3
35,189,70,0,0,0,0,0,"Athletics","Men's 50km Race Walk","#377EB8",15,"Men's 50km Race Walk",3
23,194,87,0,0,0,0,0,"Athletics","Men's Triple Jump","#377EB8",15,"Men's Triple Jump",8
27,193,120,1,0,0,0,0,"Athletics","Women's Shot Put","#377EB8",15,"Women's Shot Put",9
29,189,90,0,1,0,0,1,"Rowing","Men's Eight","#4DAF4A",17,"Men's Eight",5
24,183,75,0,0,0,0,0,"Athletics","Men's 4 x 100m Relay","#377EB8",15,"Men's 4 x 100m Relay",6
23,183,80,0,0,0,0,0,"Badminton","Mixed Doubles","#4DAF4A",15,"Mixed Doubles",3
27,188,88,0,0,0,0,0,"Athletics","Men's Decathlon","#377EB8",15,"Men's Decathlon",1
18,168,58,0,0,0,0,0,"Athletics","Men's 5000m","#377EB8",15,"Men's 5000m",8
27,162,65,1,0,0,0,0,"Athletics","Women's 200m","#377EB8",15,"Women's 200m",2
25,153,52,1,0,0,0,0,"Athletics","Women's 100m Hurdles","#377EB8",15,"Women's 100m Hurdles",5
23,179,70,1,0,0,1,1,"Swimming","Women's 400m Freestyle, Women's 800m Freestyle","#FFFF33",17,"Women's 400m Freestyle",3
23,201,102,0,1,1,0,2,"Swimming","Men's 100m Freestyle, Men's 4x100m Freestyle Relay","#FFFF33",17,"Men's 100m Freestyle",2
19,190,84,0,0,0,0,0,"Swimming","Men's 50m Freestyle, Men's 4x100m Freestyle Relay","#FFFF33",17,"Men's 50m Freestyle",10
28,182,64,1,0,0,0,0,"Athletics","Women's Heptathlon","#377EB8",15,"Women's Heptathlon",8
21,186,74,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",6
28,188,88,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3",18,"Men's Water Polo",10
35,194,103,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3",18,"Men's Water Polo",7
28,175,75,0,0,0,0,0,"Swimming","Men's 100m Breaststroke","#FFFF33",17,"Men's 100m Breaststroke",2
16,160,50,1,0,0,0,0,"Swimming","Women's 50m Freestyle","#FFFF33",17,"Women's 50m Freestyle",5
31,188,96,0,0,0,0,0,"Rowing","Men's Four","#4DAF4A",17,"Men's Four",5
33,171,61,1,0,0,0,0,"Hockey","Women's Hockey","#A65628",16,"Women's Hockey",4
20,202,90,0,2,1,0,3,"Swimming","Men's 100m Freestyle, Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay","#FFFF33",17,"Men's 100m Freestyle",9
21,178,76,1,0,0,0,0,"Sailing","Women's Laser Radial","#984EA3",17,"Women's Laser Radial",6
25,177,66,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",9
21,178,78,1,0,0,1,1,"Judo","Women's -78kg","#E41A1C",17,"Women's -78kg",7
27,194,80,0,0,0,0,0,"Athletics","Men's 4 x 400m Relay","#377EB8",15,"Men's 4 x 400m Relay",6
34,165,50,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8",15,"Women's Marathon",8
27,170,67,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",5
28,189,82,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3",18,"Men's Water Polo",1
29,196,113,0,0,0,0,0,"Handball","Men's Handball","#FFFF33",16,"Men's Handball",9
19,174,66,0,0,0,0,0,"Table Tennis","Men's Singles","#A65628",17,"Men's Singles",7
23,178,79,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",8
28,196,92,0,0,0,0,0,"Handball","Men's Handball","#FFFF33",16,"Men's Handball",4
25,160,50,1,0,0,0,0,"Athletics","Women's 100m","#377EB8",15,"Women's 100m",3
24,175,65,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",8
25,178,68,0,0,0,0,0,"Badminton","Mixed Doubles","#4DAF4A",15,"Mixed Doubles",4
30,160,58,1,0,0,0,0,"Shooting","Women's 10m Air Rifle, Women's 50m Rifle 3 Positions","#FF7F00",17,"Women's 10m Air Rifle",1
25,170,74,0,0,0,0,0,"Wrestling","Men's 74kg Greco-Roman","#FFFF33",18,"Men's 74kg Greco-Roman",8
23,172,66,0,0,0,0,0,"Wrestling","Men's 66kg Freestyle","#FFFF33",18,"Men's 66kg Freestyle",6
23,169,65,0,0,0,0,0,"Athletics","Men's 100m","#377EB8",15,"Men's 100m",7
25,165,68,1,0,0,0,0,"Weightlifting","Women's 69kg","#FF7F00",18,"Women's 69kg",6
21,190,60,0,0,0,0,0,"Athletics","Men's 10,000m","#377EB8",15,"Men's 10",7
21,174,73,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",3
21,178,71,1,0,0,0,0,"Athletics","Women's 100m Hurdles","#377EB8",15,"Women's 100m Hurdles",10
24,170,57,1,0,0,0,0,"Athletics","Women's 100m, Women's 200m","#377EB8",15,"Women's 100m",5
31,170,60,1,0,0,0,0,"Shooting","Women's Trap","#FF7F00",17,"Women's Trap",5
24,174,66,0,0,0,0,0,"Badminton","Men's Doubles","#4DAF4A",15,"Men's Doubles",4
24,188,80,0,0,0,0,0,"Sailing","Men's RS-X","#984EA3",17,"Men's RS-X",7
20,160,64,1,0,0,0,0,"Athletics","Women's 100m, Women's 4 x 100m Relay","#377EB8",15,"Women's 100m",4
26,192,104,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3",18,"Men's Water Polo",1
29,177,61,1,0,0,0,0,"Athletics","Women's 20km Race Walk","#377EB8",15,"Women's 20km Race Walk",5
23,183,80,0,0,0,1,1,"Canoe Slalom","Men's Kayak (K1)","#FFFF33",15,"Men's Kayak (K1)",4
35,183,90,0,0,0,0,0,"Sailing","Men's Finn","#984EA3",17,"Men's Finn",8
23,184,80,1,0,0,0,0,"Volleyball","Women's Volleyball","#4DAF4A",18,"Women's Volleyball",7
33,167,50,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8",15,"Women's Marathon",1
29,178,59,1,0,0,0,0,"Athletics","Women's High Jump","#377EB8",15,"Women's High Jump",9
20,160,65,1,0,0,0,0,"Football","Women's Football","#FF7F00",16,"Women's Football",6
24,178,67,0,0,0,0,0,"Cycling","Men's Individual Time Trial, Men's Road Race","#E41A1C",16,"Men's Individual Time Trial",2
21,192,120,0,0,0,0,0,"Wrestling","Men's 120kg Freestyle","#FFFF33",18,"Men's 120kg Freestyle",10
27,179,84,0,0,0,0,0,"Wrestling","Men's 84kg Greco-Roman","#FFFF33",18,"Men's 84kg Greco-Roman",9
24,182,74,0,0,0,0,0,"Fencing","Men's Individual Foil, Men's Team Foil","#984EA3",16,"Men's Individual Foil",3
25,166,56,1,0,0,0,0,"Athletics","Women's 4 x 100m Relay","#377EB8",15,"Women's 4 x 100m Relay",1
24,191,79,1,0,0,0,0,"Volleyball","Women's Volleyball","#4DAF4A",18,"Women's Volleyball",7
23,183,79,0,0,0,0,0,"Canoe Slalom","Men's Kayak (K1)","#FFFF33",15,"Men's Kayak (K1)",3
27,178,105,0,0,0,0,0,"Weightlifting","Men's 105kg","#FF7F00",18,"Men's 105kg",1
24,160,49,1,0,0,0,0,"Athletics","Women's 800m","#377EB8",15,"Women's 800m",10
32,165,78,0,0,0,0,0,"Athletics","Men's 800m","#377EB8",15,"Men's 800m",3
21,180,78,0,0,0,0,0,"Sailing","Men's Laser","#984EA3",17,"Men's Laser",4
27,155,51,1,0,0,0,0,"Hockey","Women's Hockey","#A65628",16,"Women's Hockey",2
21,160,74,0,0,0,0,0,"Athletics","Men's 200m","#377EB8",15,"Men's 200m",3
22,171,72,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",2
20,168,62,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",5
21,178,66,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",10
21,176,65,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",6
21,179,71,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",1
21,175,65,0,0,0,0,0,"Athletics","Men's 400m","#377EB8",15,"Men's 400m",10
21,176,71,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",7
20,166,69,1,0,0,0,0,"Shooting","Women's 10m Air Rifle, Women's 50m Rifle 3 Positions","#FF7F00",17,"Women's 10m Air Rifle",8
23,168,68,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",10
24,173,68,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",10
27,170,70,0,0,0,0,0,"Shooting","Men's Double Trap","#FF7F00",17,"Men's Double Trap",1
29,169,68,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",2
21,178,75,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",6
22,181,80,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",2
31,180,104,0,0,0,0,0,"Shooting","Men's Trap, Men's Double Trap","#FF7F00",17,"Men's Trap",1
41,178,70,0,0,0,1,1,"Shooting","Men's Skeet","#FF7F00",17,"Men's Skeet",4
30,187,65,0,0,0,0,0,"Athletics","Men's 800m","#377EB8",15,"Men's 800m",3
15,173,65,0,0,0,0,0,"Swimming","Men's 100m Butterfly","#FFFF33",17,"Men's 100m Butterfly",9
23,191,96,0,0,0,0,0,"Athletics","Men's Hammer Throw","#377EB8",15,"Men's Hammer Throw",8
18,175,65,0,0,0,0,0,"Athletics","Men's 1500m","#377EB8",15,"Men's 1500m",1
20,170,55,0,0,0,0,0,"Athletics","Men's 1500m","#377EB8",15,"Men's 1500m",2
19,162,60,1,0,0,0,0,"Athletics","Women's 100m","#377EB8",15,"Women's 100m",4
24,171,67,0,0,0,0,0,"Athletics","Men's 100m","#377EB8",15,"Men's 100m",10
22,175,83,0,0,0,0,0,"Weightlifting","Men's 85kg","#FF7F00",18,"Men's 85kg",8
23,183,74,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",10
17,155,43,1,0,0,0,0,"Athletics","Women's 100m","#377EB8",15,"Women's 100m",10
17,160,50,1,0,0,0,0,"Archery","Women's Individual","#E41A1C",15,"Women's Individual",2
21,170,65,0,0,0,0,0,"Athletics","Men's 400m","#377EB8",15,"Men's 400m",9
28,195,110,0,0,0,0,0,"Athletics","Men's Hammer Throw","#377EB8",15,"Men's Hammer Throw",8
21,189,84,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",4
26,164,55,1,0,0,0,0,"Sailing","Women's RS-X","#984EA3",17,"Women's RS-X",7
16,182,71,1,0,0,0,0,"Athletics","Women's 400m","#377EB8",15,"Women's 400m",6
23,175,73,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",3
22,178,57,0,0,0,0,0,"Athletics","Men's 5000m","#377EB8",15,"Men's 5000m",7
20,170,65,0,0,0,0,0,"Table Tennis","Men's Singles","#A65628",17,"Men's Singles",5
28,158,42,1,0,0,0,0,"Athletics","Women's 1500m, Women's 5000m","#377EB8",15,"Women's 1500m",7
20,176,75,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",1
18,175,65,0,0,0,0,0,"Swimming","Men's 200m Butterfly","#FFFF33",17,"Men's 200m Butterfly",1
23,166,55,1,0,0,0,0,"Athletics","Women's 100m","#377EB8",15,"Women's 100m",10
23,170,66,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",2
24,205,110,0,0,0,0,0,"Swimming","Men's 100m Breaststroke","#FFFF33",17,"Men's 100m Breaststroke",10
31,172,67,0,0,0,0,0,"Cycling","Men's Individual Time Trial, Men's Road Race","#E41A1C",16,"Men's Individual Time Trial",1
24,192,156,0,0,0,0,0,"Weightlifting","Men's +105kg","#FF7F00",18,"Men's +105kg",5
26,172,62,1,0,0,0,0,"Basketball","Women's Basketball","#984EA3",15,"Women's Basketball",6
29,178,81,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",7
23,176,76,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",8
23,183,76,1,0,0,0,0,"Rowing","Women's Eight","#4DAF4A",17,"Women's Eight",4
27,185,74,0,0,0,0,0,"Athletics","Men's 3000m Steeplechase","#377EB8",15,"Men's 3000m Steeplechase",4
39,172,62,1,0,0,0,0,"Athletics","Women's Triple Jump","#377EB8",15,"Women's Triple Jump",5
23,172,68,1,0,0,0,0,"Sailing","Women's Laser Radial","#984EA3",17,"Women's Laser Radial",4
28,178,87,0,0,0,0,0,"Wrestling","Men's 84kg Freestyle","#FFFF33",18,"Men's 84kg Freestyle",3
45,180,100,0,0,0,0,0,"Shooting","Men's Trap, Men's Double Trap","#FF7F00",17,"Men's Trap",9
27,184,75,0,0,0,0,0,"Hockey","Men's Hockey","#A65628",16,"Men's Hockey",9
31,171,71,0,0,0,0,0,"Hockey","Men's Hockey","#A65628",16,"Men's Hockey",8
26,171,60,1,0,0,0,0,"Sailing","Women's 470","#984EA3",17,"Women's 470",6
40,199,135,0,0,0,0,0,"Athletics","Men's Discus Throw","#377EB8",15,"Men's Discus Throw",10
22,189,94,0,0,0,0,0,"Rowing","Men's Single Sculls","#4DAF4A",17,"Men's Single Sculls",1
19,185,75,0,0,0,0,0,"Swimming","Men's 200m Breaststroke","#FFFF33",17,"Men's 200m Breaststroke",3
20,185,96,0,0,0,0,0,"Wrestling","Men's 96kg Greco-Roman","#FFFF33",18,"Men's 96kg Greco-Roman",4
21,164,62,1,0,0,0,0,"Cycling","Women's BMX","#E41A1C",16,"Women's BMX",2
24,186,75,0,0,0,0,0,"Athletics","Men's 4 x 400m Relay","#377EB8",15,"Men's 4 x 400m Relay",4
20,188,89,0,0,0,0,0,"Canoe Sprint","Men's Kayak Four (K4) 1000m","#A65628",15,"Men's Kayak Four (K4) 1000m",3
26,197,100,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3",18,"Men's Water Polo",3
29,200,96,0,0,0,0,0,"Volleyball","Men's Volleyball","#4DAF4A",18,"Men's Volleyball",2
21,173,66,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",9
25,175,75,0,0,0,0,0,"Swimming","Men's 4x100m Freestyle Relay","#FFFF33",17,"Men's 4x100m Freestyle Relay",8
30,171,60,1,0,0,0,0,"Athletics","Women's Triple Jump","#377EB8",15,"Women's Triple Jump",2
26,178,65,1,0,0,0,0,"Athletics","Women's 400m","#377EB8",15,"Women's 400m",1
20,184,82,0,0,0,0,0,"Fencing","Men's Individual Epee","#984EA3",16,"Men's Individual Epee",5
34,185,85,0,0,0,0,0,"Canoe Sprint","Men's Kayak Double (K2) 1000m, Men's Kayak Double (K2) 200m","#A65628",15,"Men's Kayak Double (K2) 1000m",1
22,191,96,0,0,0,0,0,"Wrestling","Men's 96kg Greco-Roman","#FFFF33",18,"Men's 96kg Greco-Roman",4
20,185,80,0,0,0,0,0,"Swimming","Men's 400m Individual Medley","#FFFF33",17,"Men's 400m Individual Medley",6
17,170,72,1,0,0,0,0,"Swimming","Women's 50m Freestyle","#FFFF33",17,"Women's 50m Freestyle",7
25,174,85,0,0,0,0,0,"Table Tennis","Men's Singles","#A65628",17,"Men's Singles",5
27,176,72,1,0,0,0,0,"Wrestling","Women's 72kg Freestyle","#FFFF33",18,"Women's 72kg Freestyle",6
23,167,61,0,0,0,0,0,"Athletics","Men's 800m, Men's 1500m","#377EB8",15,"Men's 800m",3
27,190,83,0,0,0,0,0,"Athletics","Men's 110m Hurdles","#377EB8",15,"Men's 110m Hurdles",10
37,176,68,0,0,0,0,0,"Fencing","Men's Individual Foil","#984EA3",16,"Men's Individual Foil",2
15,165,60,0,0,0,0,0,"Swimming","Men's 100m Butterfly","#FFFF33",17,"Men's 100m Butterfly",4
26,200,110,0,0,0,0,0,"Handball","Men's Handball","#FFFF33",16,"Men's Handball",2
25,185,72,0,0,0,0,0,"Fencing","Men's Individual Epee","#984EA3",16,"Men's Individual Epee",3
36,175,85,0,0,0,0,0,"Shooting","Men's Trap","#FF7F00",17,"Men's Trap",8
26,175,74,0,0,0,0,0,"Wrestling","Men's 74kg Freestyle","#FFFF33",18,"Men's 74kg Freestyle",9
22,170,60,0,0,0,0,0,"Wrestling","Men's 60kg Greco-Roman","#FFFF33",18,"Men's 60kg Greco-Roman",3
27,179,68,1,0,0,0,0,"Swimming","Women's 50m Freestyle, Women's 100m Butterfly","#FFFF33",17,"Women's 50m Freestyle",8
29,165,55,1,0,0,0,0,"Swimming","Women's 100m Freestyle","#FFFF33",17,"Women's 100m Freestyle",3
30,162,57,1,0,0,0,0,"Badminton","Women's Singles","#4DAF4A",15,"Women's Singles",9
22,188,86,1,0,0,0,0,"Basketball","Women's Basketball","#984EA3",15,"Women's Basketball",10
40,169,67,1,0,0,0,0,"Shooting","Women's Skeet","#FF7F00",17,"Women's Skeet",7
22,170,65,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",8
20,170,65,1,0,0,0,0,"Swimming","Women's 200m Individual Medley","#FFFF33",17,"Women's 200m Individual Medley",10
23,180,73,0,0,0,0,0,"Athletics","Men's 4 x 400m Relay","#377EB8",15,"Men's 4 x 400m Relay",5
25,183,73,0,0,0,0,0,"Swimming","Men's 100m Backstroke, Men's 200m Individual Medley, Men's 400m Individual Medley","#FFFF33",17,"Men's 100m Backstroke",7
27,169,55,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8",15,"Men's Marathon",8
26,183,84,0,0,0,0,0,"Tennis","Men's Singles","#E41A1C",18,"Men's Singles",3
23,182,63,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",6
23,182,87,0,0,0,0,0,"Swimming","Men's 100m Breaststroke","#FFFF33",17,"Men's 100m Breaststroke",9
24,185,88,0,0,0,0,0,"Athletics","Men's 110m Hurdles","#377EB8",15,"Men's 110m Hurdles",2
27,174,74,0,0,0,0,0,"Swimming","Men's 100m Butterfly, Men's 200m Butterfly, Men's 4x100m Medley Relay","#FFFF33",17,"Men's 100m Butterfly",4
28,180,64,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",7
28,169,62,1,0,0,0,0,"Football","Women's Football","#FF7F00",16,"Women's Football",2
23,176,72,1,0,0,0,0,"Athletics","Women's 400m Hurdles","#377EB8",15,"Women's 400m Hurdles",7
28,172,65,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",4
24,187,86,0,0,0,0,0,"Handball","Men's Handball","#FFFF33",16,"Men's Handball",5
25,171,79,0,0,0,0,0,"Athletics","Men's 4 x 100m Relay","#377EB8",15,"Men's 4 x 100m Relay",9
48,180,95,0,0,0,0,0,"Shooting","Men's Skeet","#FF7F00",17,"Men's Skeet",8
19,176,70,0,0,0,0,0,"Shooting","Men's Trap","#FF7F00",17,"Men's Trap",7
34,180,65,1,0,0,0,0,"Swimming","Women's 50m Freestyle, Women's 100m Freestyle","#FFFF33",17,"Women's 50m Freestyle",1
32,181,84,0,0,0,0,0,"Sailing","Men's Laser","#984EA3",17,"Men's Laser",5
23,175,78,1,0,0,0,0,"Judo","Women's +78kg","#E41A1C",17,"Women's +78kg",7
25,157,56,1,0,0,0,0,"Football","Women's Football","#FF7F00",16,"Women's Football",9
20,170,70,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",4
21,174,90,0,0,0,0,0,"Archery","Men's Individual, Men's Team","#E41A1C",15,"Men's Individual",7
26,174,70,1,0,0,1,1,"Judo","Women's -70kg","#E41A1C",17,"Women's -70kg",2
31,182,66,0,0,0,0,0,"Athletics","Men's 5000m","#377EB8",15,"Men's 5000m",5
26,194,88,0,0,0,0,0,"Volleyball","Men's Volleyball","#4DAF4A",18,"Men's Volleyball",1
22,173,64,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",3
25,181,72,0,0,0,0,0,"Cycling","Men's Road Race","#E41A1C",16,"Men's Road Race",2
18,175,58,0,0,0,0,0,"Athletics","Men's 800m","#377EB8",15,"Men's 800m",2
18,174,61,1,0,0,0,0,"Swimming","Women's 200m Individual Medley","#FFFF33",17,"Women's 200m Individual Medley",5
31,201,86,0,0,0,0,0,"Volleyball","Men's Volleyball","#4DAF4A",18,"Men's Volleyball",1
28,162,57,1,0,0,0,0,"Judo","Women's -57kg","#E41A1C",17,"Women's -57kg",4
34,183,78,0,0,0,0,0,"Hockey","Men's Hockey","#A65628",16,"Men's Hockey",9
24,198,54,1,0,0,0,0,"Athletics","Women's High Jump","#377EB8",15,"Women's High Jump",9
22,177,86,0,0,0,0,0,"Athletics","Men's Javelin Throw","#377EB8",15,"Men's Javelin Throw",9
19,160,55,1,0,0,0,0,"Shooting","Women's 10m Air Rifle","#FF7F00",17,"Women's 10m Air Rifle",9
32,168,54,1,0,0,0,0,"Athletics","Women's 4 x 100m Relay","#377EB8",15,"Women's 4 x 100m Relay",7
23,169,53,1,0,0,0,0,"Cycling","Women's Road Race","#E41A1C",16,"Women's Road Race",3
25,186,84,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",9
29,167,62,1,0,0,0,0,"Handball","Women's Handball","#FFFF33",16,"Women's Handball",8
18,179,60,0,0,0,0,0,"Athletics","Men's 800m","#377EB8",15,"Men's 800m",5
25,178,81,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",2
