Rank,Ordinal Rank,University Name,Overall Score,City,Country,Citations per Paper,Papers per Faculty,Academic Reputation,Faculty Student Ratio,Staff with PhD,International Research Center,International Students,Outbound Exchange,Inbound Exchange,International Faculty,Employer Reputation
53,53,Gadjah Mada University,70.2,Yogyakarta,Indonesia,1.5,10.7,95.1,77.3,8.8,57,14.8,47.4,76.7,75.1,96.7
54,54,Universiti Teknologi PETRONAS (UTP),70.2,Seri Iskandar,Malaysia,49.1,90.2,58.2,66.8,46.2,89.7,64.1,88.6,98.3,98,70.9
55,55,Mahidol University,70.1,Nakhon Pathom,Thailand,19.8,14,88.8,93.3,81.8,83.6,22.2,48.9,76.2,15.1,62.4
56,56,Indian Institute of Technology Madras (IITM),69.6,Chennai,India,16.5,98.1,88.7,30.5,99.9,56.1,6.3,30.5,5.9,11.7,95
57,57,Tianjin University,69.5,Tianjin,China,89.9,92.4,53.3,69.8,56,90.7,69.5,97.6,99.1,56.9,53
58,58,Harbin Institute of Technology,69.3,Harbin,China,78.6,96.9,71.2,45.9,77.4,93,27.5,40.9,4.4,24.1,63.4
59,59,Bandung Institute of Technology (ITB),69.1,Bandung,Indonesia,1.8,19.4,88.5,71,79.8,35.8,18,26.7,56.9,99.6,96.5
60,60,Indian Institute of Technology Kharagpur (IIT-KGP),68.8,Kharagpur,India,36.1,94.8,80.3,14.8,99.9,93.5,2.3,3.8,1.5,1.2,89.5
61,61,Beijing Normal University,68.7,Beijing,China,86.9,78.9,79.8,41.5,92.4,94.3,65.9,38.4,12.8,20.2,40.5
62,62,Indian Institute of Science,68.4,Bangalore,India,28.6,100,92.7,49.8,99.9,58.8,5.2,6.7,8.4,11.1,68.6
63,63,University of Tsukuba,68.3,Tsukuba City,Japan,16.2,44.2,82.6,74.8,88.2,91.9,62.8,16.5,28.1,34.6,63.5
64,64,Beijing Institute of Technology,68,Beijing,China,77.1,70.2,65,64.2,64,93,32.5,51.2,15.6,17.7,65.6
65,65,L.N. Gumilyov Eurasian National University (ENU),67.5,Astana,Kazakhstan,2.2,5,86.5,94.8,54.2,29.4,35.3,28,31.1,93.3,94.8
66,66,National Taiwan University of Science and Technology (Taiwan Tech),67.3,Taipei City,Taiwan,55.4,41.2,71.9,64.3,58.2,42.4,71.4,43.5,78.7,48.9,80.7
67,67,Indian Institute of Technology Kanpur (IITK),66.7,Kanpur,India,22.7,91.1,83.7,26.2,99.9,58.2,2,5.6,5.8,7.1,92.7
68,67,National University of Sciences & Technology (NUST) Islamabad,66.7,Islamabad,Pakistan,56.4,29.8,60.1,83.8,12.7,95.7,21.1,13.6,3.3,13,97
69,67,Huazhong University of Science and Technology,66.3,Wuhan,China,96.1,94.6,59.9,15.1,81.5,97.9,14,38.6,17.6,16,71.1
70,70,Ewha Womans University,66.1,Seoul,South Korea,60,13.6,65.4,90.6,95.3,45.1,68.6,90.7,92.8,21.3,61.6
71,71,Hong Kong Baptist University,65.3,Kowloon,Hong Kong,96.9,44.7,55.6,80,52.1,55.2,100,97,86.7,100,43.7
72,72,Xi’an Jiaotong University,64.5,Xi'an,China,71.2,83.1,57.2,24.1,71.6,98.2,19.8,27.2,7.8,11.7,82
73,73,Chung-Ang University (CAU),64.4,Seoul,South Korea,52,18.4,53.3,85.1,91.6,42.5,83.1,94.5,92.3,38.5,75.2
74,74,Sunway University,62.9,Petaling Jaya,Malaysia,77.9,28.7,48.9,71.9,14.9,76.5,75.9,15.9,35.6,70.6,81.8
75,75,Shandong University,62.8,Jinan,China,69.6,82.8,52.1,30.5,71.5,89.8,16.2,26.5,35.4,24.7,78.7
76,76,Kobe University,62.7,Kobe City,Japan,12.9,34.7,73,59.8,76.3,81.1,28.3,13.6,36,21.3,76.5
77,76,Xiamen University,62.7,Xiamen,China,95.4,53.3,65.7,34,57.1,88.6,16.4,27.6,84.5,15.7,49.9
78,78,Universiti Brunei Darussalam (UBD),62.3,Bandar Seri Begawan,Brunei,26.4,30.8,59.6,98.1,94.3,52.4,90.6,100,100,100,42.9
79,79,National Taiwan Normal University,62.2,Taipei City,Taiwan,26.4,14.6,80.6,81.5,65.5,30.2,71,60.4,68.7,39.1,60.5
80,79,Universiti Utara Malaysia (UUM),62.2,Sintok,Malaysia,38.1,21.6,63,59.3,83.3,50.1,98.5,60.8,99.1,48.4,67.6
81,81,Pusan National University,61.9,Busan,South Korea,36,36.9,58.9,79.8,93.4,84.1,52.4,40.7,74.8,30.4,53.4
82,81,University of Delhi,61.9,New Delhi,India,13.3,60.9,84.6,9.5,71.1,96.4,5.5,1.1,1.7,2.4,78.4
83,83,National Sun Yat-sen University,61.7,Kaohsiung City,Taiwan,24.2,46.1,70.3,51.4,96,52.8,45.4,61.7,46.2,53.8,66.9
84,84,Quaid-i-Azam University,61.3,Islamabad,Pakistan,82.7,82.6,54,9.5,51.7,90.5,8.2,14.8,3.4,21.4,84.3
85,84,Shanghai University,61.3,Shanghai,China,69,37.8,59.8,71.4,84.2,85,27.1,32.7,3.3,75.6,46.1
86,86,University of the Philippines,60.6,Quezon City,Philippines,6.4,6.3,83,47.9,1,87.1,2.1,3.3,2.2,3.4,94.4
87,87,University of Tehran,60.5,Tehran,Iran,70.5,78,61,5.7,62.7,99.4,8.9,1.3,2,5,75.5
88,88,Ulsan National Institute of Science and Technology (UNIST),59.9,Ulsan,South Korea,99.7,71.2,45.2,98.8,99.8,33.1,42.2,10.7,12.6,63,47.1
89,89,Satbayev University,59.8,Almaty,Kazakhstan,1.5,4.7,81.8,98.7,17.2,15.8,53.8,7.7,8.9,92.5,82.6
90,90,Jilin University,59.6,Changchun,China,78.3,32.4,41.2,57.8,41.9,88.3,9.8,24.9,1,33,86.8
91,91,National Taipei University of Technology,59.5,Taipei City,Taiwan,42.5,57.6,45.6,41.6,99.9,26.7,64.8,65.9,83.5,49,91.4
92,92,IPB University (aka Bogor Agricultural University),58.6,Bogor,Indonesia,1.4,10.2,67.2,94.3,50.6,22.7,18.9,29.4,63.4,85.2,83.3
93,92,Sogang University,58.6,Seoul,South Korea,44.6,11.6,57.4,76.6,52.3,13.8,63.3,45.1,89,21.5,86.3
94,94,Sichuan University,58.5,Chengdu,China,76,95.1,59.9,20,67.8,94.6,25.4,4.6,5.6,21.7,49.8
95,95,Daegu Gyeongbuk Institute of Science and Technology (DGIST),57.9,Daegu,South Korea,87.6,96.6,36.7,94.7,98.4,11.6,17.5,99.7,42.8,20.3,56.4
96,96,Hiroshima University,57.7,Higashihiroshima City,Japan,9.7,31.1,66.4,90.4,68.5,93.9,50.6,8.4,8.1,36.4,44.5
97,97,Sharif University of Technology,57.5,Tehran,Iran,71,99.1,40.4,8.6,99.9,87.6,3.2,1.4,2.5,8.4,82.1
98,98,Nankai University,57.2,Tianjin,China,99.8,49.2,56.1,43,93.2,76.5,13.7,22.3,2,34.5,38
99,99,University of Macau,56.8,Macau,Macau SAR,97.4,84.6,40.8,15.7,89.1,83.3,100,33,23.8,100,39.8
100,100,Sejong University,56.7,Seoul,South Korea,99.1,52.4,38.7,22.5,74.6,89.9,76.5,34.3,39.7,55.4,52.6
101,101,Kyungpook National University,56.6,Daegu,South Korea,40.1,36.7,38.4,84.5,91.8,77.6,66.3,45.5,88.3,31.8,53.7
102,101,Universiti Teknologi MARA - UiTM,56.6,Shah Alam,Malaysia,3.3,13.6,76,36.6,11.5,93.1,10,5,15.5,3.6,82.8
103,103,Renmin (People's) University of China,56.5,Beijing,China,71.5,14,58.6,30,87.2,32.2,12.1,53.6,15.5,20.1,80.3
104,104,Indian Institute of Technology Guwahati (IITG),56.2,Guwahati,India,33.8,98.9,58,11.5,99.2,76.6,2.7,6.5,1.8,6,72
105,105,Gwangju Institute of Science and Technology (GIST),55.9,Gwangju,South Korea,75.8,99.8,48.3,59,99.9,37.2,39.6,96.8,24.1,47,35.9
106,106,University of Chinese Academy of Sciences (UCAS),55.8,Beijing,China,88.1,100,60.7,7.1,97.5,100,10,1.3,1,59.3,22.7
107,107,Southern University of Science and Technology (SUSTech),55.6,Shenzhen,China,98.8,86,32.8,94.2,96.5,72.7,4.7,61.4,99.5,72.3,11.4
108,108,Chiang Mai University,55.3,Chiang Mai,Thailand,11.6,14.9,80.8,31.5,55.4,88.5,22.1,1.5,28.4,14.8,54.5
109,109,Indian Institute of Technology Roorkee (IITR),55.3,Roorkee,India,31.9,97.4,58.8,13.5,99.3,67.1,8.9,9.7,4.9,2.2,70.3
110,110,Jawaharlal Nehru University,55.2,New Delhi,India,38.7,47.9,76.8,19.6,99.5,71.5,4,1.7,3.2,null,49
111,111,East China Normal University,54.6,Shanghai,China,90.8,52,44.3,29.7,83.3,95,45.5,74.5,99.1,55.9,21.6
112,112,National Central University,54,Taoyuan City,Taiwan,18.5,37.2,62,39.6,85.5,43.5,43.3,25.9,23.6,32.9,71
113,112,University of Dhaka,54,Dhaka,Bangladesh,51.4,9.8,65.4,14.6,2.6,77.6,1.4,2.8,6.6,4.2,86.4
114,114,Institut Teknologi Sepuluh Nopember (ITS Surabaya),53.2,Surabaya,Indonesia,1.5,8.2,56.8,85.8,1,11.2,27.2,88.7,92.1,81.1,84.6
115,115,Lahore University of Management Sciences (LUMS),53.1,Lahore,Pakistan,58.6,21,53.4,45.4,12.1,23.5,7.5,15.7,1.6,34.3,97.4
116,116,Inha University,52.9,Incheon,South Korea,64.2,18.9,42.2,93.6,41.2,31.5,52.3,97,93.6,28.4,49
117,117,Dongguk University,52.7,Seoul,South Korea,90.2,14.2,29.7,94.5,62.1,54.3,69.3,72.6,85.8,26.7,40
118,117,Jeonbuk National University,52.7,Jeonju,South Korea,61.7,18.8,49.8,80.3,60.8,52.2,32.9,77.7,41,23.5,41.4
119,119,Chandigarh University,52.5,Mohali,India,3.6,6,54.2,52.9,3,55.9,54.4,32.8,28.8,72.4,90.5
120,119,National Chung Hsing University,52.5,Taichung City,Taiwan,22.9,29.2,61.3,42.9,90.1,46.7,35.7,17,13.9,26.2,64.2
121,121,Taipei Medical University (TMU),52.3,Taipei,Taiwan,39.7,34.8,37,97.4,94.1,29.6,52.2,100,100,42.2,45
122,122,National Chengchi University,52.2,Taipei City,Taiwan,8.1,7.1,59.3,31.2,79.4,13.1,66.6,85.8,68.7,59.3,80.7
123,123,Ajou University,52,Suwon,South Korea,61.8,27.7,45.3,85.9,67.8,22.2,65.6,27.2,72.9,27.3,50.5
124,124,HUFS - Hankuk (Korea) University of Foreign Studies,52,Seoul,South Korea,25.2,3.3,39.5,93.3,80.7,12.1,89.3,100,100,66.4,61.6
125,125,Beihang University (former BUAA),51.6,Beijing,China,64.5,76.9,41.1,71.2,66.5,76.7,23.2,37.8,24.2,21.3,32.4
126,126,Duy Tan University,50.9,Da Nang,Vietnam,100,37.2,38.3,7.8,1.8,98.9,4.7,9.6,7.6,72.5,64.1
127,127,Thammasat University,50.8,Bangkok,Thailand,5.7,7.8,67.3,44.6,59.3,61.8,7,41.4,32.5,26.9,58.6
128,128,COMSATS University Islamabad,50.6,Islamabad,Pakistan,74.9,33.7,40.2,25.3,4.2,99.6,4.6,1.5,1.1,3.1,73.7
129,128,Management and Science University,50.6,Shah Alam,Malaysia,6.7,7.6,52.5,68.2,14.4,11.4,100,100,99.6,99.9,67.5
130,130,Abai Kazakh National Pedagogical University (Abai University),50.2,Almaty,Kazakhstan,1.3,2.5,77.1,79.7,4.6,2.5,19.5,45.1,21,72.7,63.9
131,130,Universiti Tunku Abdul Rahman (UTAR),50.2,Kampar,Malaysia,52,14.2,46,27.6,13.2,68.7,23.8,38.3,52.5,35.4,74.1
132,132,International Islamic University Malaysia (IIUM),50,Kuala Lumpur,Malaysia,4.2,14,67.1,25.3,16.5,88.5,93.3,6.5,8.6,53.9,54.3
133,133,Diponegoro University,49.8,Semarang,Indonesia,1.2,9,60.8,54.9,1.3,37.9,15.8,48.9,47.2,61.2,78.8
134,133,Southeast University,49.8,Nanjing,China,60.2,81,44.7,36.7,62.5,93.4,18.1,42.4,17.6,38.9,28.3
135,133,Universitas Padjadjaran (UNPAD),49.8,Bandung,Indonesia,1.4,7.1,59.9,76.1,4.5,23.6,10.8,34.2,36.9,69.5,78.6
136,133,Universiti Teknologi Brunei,49.8,Bandar Seri Begawan,Brunei,53.4,20.8,49.8,96.7,63.5,17.2,29.2,97.1,10.5,100,31.9
137,137,Auezov South Kazakhstan University (SKU),49.5,Shymkent,Kazakhstan,1.1,2,65.8,97.1,6.9,2.4,57.5,48.3,16.2,35.9,68.8
138,137,University of the Punjab,49.5,Lahore,Pakistan,30.7,30,50,7.9,5.3,88.3,3.4,3.2,1.9,9.5,90.2
139,139,Konkuk University,49.1,Seoul,South Korea,71.1,29.2,27.8,80.7,64.6,70.7,55.3,75.9,65.7,28,33.2
140,139,Singapore Management University,49.1,Singapore,Singapore,84.1,23.5,41.5,19.8,27.7,25.7,93.9,100,100,100,48.7
141,141,Krirk University,48.9,Bangkok,Thailand,1.3,1.8,43.1,65.6,54.8,1.7,100,80,16.6,100,86.7
142,142,Ateneo de Manila University,49,Quezon City,Philippines,5.8,7.3,64.2,41.7,1.8,29.7,12.5,14.4,15.1,8.4,93.6
143,143,Hitotsubashi University,48.8,Kunitachi City,Japan,4.2,8.3,47,50,33.5,5.5,63.9,45.6,67,49.1,97.4
144,144,Amirkabir University of Technology,48.2,Tehran,Iran,54.9,99.8,20.6,9.1,99.1,94,14.4,2.9,1.4,56.6,64.4
145,144,Ritsumeikan University,48.2,Kyoto,Japan,9.5,10.8,53.1,15.4,31,44.4,41.9,15.3,14.4,61.9,91.9
146,146,Universiti Tenaga Nasional (UNITEN),48,Kajang,Malaysia,45.7,32.7,29.4,93,11.8,48,92.7,92.4,98,45.8,42.7
147,147,South China University of Technology,47.8,Guangzhou,China,97.2,78.9,41.1,35.5,29.8,76.7,24,26.7,6.2,31,26.9
148,148,UPES,47.5,Dehradun,India,10.1,17,72.8,60.1,6.7,83.2,2.5,10.4,2.4,46.2,30.5
149,149,Kazakh National Agrarian Research University (KazNARU),47.4,Almaty,Kazakhstan,1.3,3,63.6,99.3,27.6,4.5,67.7,17.3,30.7,48.6,53.2
150,150,Vellore Institute of Technology (VIT),46.4,Vellore,India,21.7,42.9,45.1,16.5,80.9,97.1,15.2,2.9,2,26.4,52.4
151,151,Iran University of Science and Technology,46.1,Tehran,Iran,64,98.2,28.9,5.1,98.3,79.3,5.4,2.8,1.5,33.9,50.9
152,152,China Medical University,45.4,Taichung,Taiwan,64.5,96.4,25.6,40.9,65.5,96.5,34.2,63.6,57.7,12.8,18.9
153,152,Dalian University of Technology,45.5,Dalian,China,71.8,81.4,34.2,32.6,87.9,82.1,15.2,58,18.3,32.7,17.8
154,154,Singapore University of Technology and Design,45.4,Singapore,Singapore,99.9,37.3,27.4,99.9,null,44.9,null,97.9,89.4,null,23.6
155,154,University of Science and Technology Beijing,45.4,Beijing,China,74.1,96.5,40.2,19.8,67.6,83.1,14.4,50.7,11.1,9.2,19.5
156,154,Kasetsart University,45.3,Bangkok,Thailand,10.2,8.3,68.3,12.9,12.2,77.4,3.3,10.5,8.1,13,57.3
157,154,North South University,45.3,Dhaka,Bangladesh,60.6,9.1,44.4,13.4,6.6,32.5,2.3,33.8,3.2,23.9,87.9
158,154,Shenzhen University,45.3,Shenzhen,China,96.9,69.9,28.4,43.7,87.7,90.7,4.6,5.5,12.1,31.6,14.9
159,159,Bangladesh University of Engineering and Technology,45.1,Dhaka,Bangladesh,28.3,40.9,52.7,22.8,27.7,33.6,1.3,1.2,1,null,79.7
160,160,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers (TIIAME)-National Research University,44.9,Tashkent,Uzbekistan,5.4,9.7,52.2,86.2,47.7,6.7,21.3,43.9,62.3,51.4,53.3
161,160,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),44.9,Kuantan,Malaysia,41.3,56.4,37.5,29.1,94.7,80.8,38.9,55.4,44.5,52.8,23.8
162,162,Vietnam National University,44.8,Hanoi,Vietnam,36,5.7,49.9,12.6,26.5,87.2,2.5,19.3,30.8,16.9,57.3
163,163,Hunan University,44.5,Changsha,China,100,52,29,30.3,45.9,70.3,7.8,28.8,12.7,14.2,39.5
164,164,De La Salle University,44.4,Manila,Philippines,4.5,15.4,64.4,13.9,1.6,28.2,7.5,5.4,5.3,3.7,88.2
165,164,University of Engineering & Technology (UET) Lahore,44.4,Lahore,Pakistan,44.5,18.7,35.4,33.6,1.4,62.8,9.6,1.9,1.3,1.4,84.8
166,166,Universiti Pendidikan Sultan Idris (UPSI),44,Tanjong Malim,Malaysia,6.2,12.8,43.8,48.7,97.5,26.3,77.1,98.8,100,51.5,38.4
167,167,University of Seoul,43.9,Seoul,South Korea,55.9,17.1,38,56.9,79.2,31.6,33.2,50.4,73.2,16.9,37.8
168,168,Karaganda Buketov University,43.8,Karaganda,Kazakhstan,1.4,2.3,53,76.2,1.2,5.5,26.7,96.3,52.2,36.4,63.7
169,169,Central South University,43.5,Changsha,China,87.2,95.1,31,10.9,66.9,92.3,21,34,3.5,19.7,18.9
170,169,Shoolini University of Biotechnology and Management Sciences,43.5,Solan,India,99.8,42.1,28.5,17.4,29,67.7,6.8,14,2.7,63.6,46.7
171,171,INTI International University,43.4,Nilai,Malaysia,3.9,6.3,34.8,79.7,19.6,4.9,99.6,100,100,99.2,57.6
172,172,Birla Institute of Technology and Science,43.2,Pilani,India,28,43.8,40.2,17.7,98,56.3,12.3,25.2,1.2,5.7,56.9
173,173,Universitas Brawijaya,43,Malang,Indonesia,1.3,7.5,60.2,22.9,1.3,23.6,4.9,20.8,32.7,37.5,79.8
174,174,Northwestern Polytechnical University,42.8,Xi'an,China,76.6,59.8,22.2,65.6,71.3,79.3,26.6,49.6,1.8,43.5,15.2
175,174,Savitribai Phule Pune University,42.8,Pune,India,7.4,82.1,32,69.5,36.8,66.8,12.5,1,1.1,2.5,55.7
176,174,Chiba University,42.6,Chiba City,Japan,11.5,29.4,52,83.9,35.7,40.7,22.5,5.5,26.5,22.7,34.3
177,174,Tokyo University of Science,42.6,Kagurazaka,Japan,7.6,37.2,36.4,18.4,80.4,24.8,19.2,1.9,4.3,35,89.6
178,178,Anna University,42.5,Chennai,India,10.7,100,38,11,76.2,99.7,4,1.6,1.1,null,43.2
179,179,Tokyo Medical and Dental University (TMDU),42.5,Tokyo,Japan,24.3,39.4,40.3,100,87.7,27.7,51.7,12.8,8.2,6.4,28
180,180,University of Calcutta,42.4,Kolkata,India,8,62.6,53.1,10.9,95.7,82.3,2,3.8,1.1,56.8,27.9
181,181,Zhengzhou University,42.2,Zhengzhou,China,96.6,54.9,20.7,9.9,11.5,82.6,11.6,1.3,1,null,60.4
182,182,University of Santo Tomas,42,Manila,Philippines,5.1,2.7,43.3,20.9,1.2,21.1,29.3,99.8,79.9,69.6,79.4
183,183,The University of Lahore,41.9,Lahore,Pakistan,44,13.1,40.2,22.1,1.1,87.6,15.4,1,1.1,12.2,58.6
184,184,Amity University,41.8,Noida,India,8.6,34.3,37.3,20.6,66.6,87.7,65.6,99.9,15.4,11.2,38.8
185,185,Viet Nam National University Ho Chi Minh City (VNU-HCM),41.7,Ho Chi Minh City,Vietnam,11.6,7.1,57.8,8.5,1.8,69.1,1.9,1.7,2.5,12.7,66.5
186,186,Lincoln University College,41.6,Petaling Jaya,Malaysia,4.2,3.9,31.5,76.8,75.6,2.3,100,100,100,99.9,42.7
187,187,Khon Kaen University,41.5,Khon Kaen,Thailand,9.8,16.6,53.4,14.7,70.9,76.2,11.5,18.9,21.5,16.5,40.4
188,188,Chongqing University,41.4,Chongqing,China,78.7,74,28,23.2,60.3,86,10,14.5,2.9,51.6,21.2
189,189,Jamia Millia Islamia,41.3,New Delhi,India,72.7,37.6,35.3,53.4,81.8,65,25.5,10.4,16.4,9.3,14.3
190,190,Lingnan University,41.3,Tuen Mun,Hong Kong,51.1,20.1,35,18.5,90.9,16.8,100,98.3,90.7,100,28.2
191,191,National Chung Cheng University,41.2,Minxiong Township,Taiwan,13.1,16.4,42.2,23.7,74.8,26.9,18.6,36.6,48.3,14.6,66.9
192,192,Asia Pacific University of Technology and Innovation (APU) Malaysia,41,Kuala Lumpur,Malaysia,5.7,6.1,38.5,78.5,1.2,4.7,100,99.9,100,99.3,44.8
193,192,China Agricultural University,41,Beijing,China,79.6,89.1,30.6,30,81.4,77.9,5.8,14.2,1.4,10.8,12.3
