First Name,Last Name,Gender,Discipline,Event(s)/ Position ,Previous Olympic Experience,Gold Medals,Silver Medals,Bronze Medals,Height,Weight,Start of Games,Birth Date,Age (As of 2/8/18),Birthplace,Birth State,Hometown,Home State,Most Recent School,Military (Rank - Branch),Twitter Handle,Kids,Foreign Languages,,,,,,
Andrew,Weibrecht,M,Alpine Skiing,Super-G,"2010, 2014",,1,1,"5'7""",190,2/8/18,2/10/86,32,Saranac Lake,N.Y.,Lake Placid,N.Y.,Dartmouth College,,@a_weibrecht,Yes,,,,,,,
Emily,Dreissigacker,F,Biathlon,TBD,,,,,"5'9""",150,2/8/18,11/29/88,29,Morrisville,Vt.,Morrisville,Vt.,Dartmouth College,,@dreissie,,,,,,,,
Susan,Dunklee,F,Biathlon,TBD,2014,,,,"5'7""",143,2/8/18,2/13/86,32,Newport,Vt.,Barton,Vt.,Dartmouth College,,@SusanDunklee,,German,,,,,,
Clare,Egan,F,Biathlon,TBD,,,,,"5'8""",125,2/8/18,11/19/87,30,Portland,Maine,Cape Elizabeth,Maine,University of New Hampshire,,@BiathleteEgan,,"French, German, Italian, Korean, Spanish",,,,,,
Maddie,Phaneuf,F,Biathlon,TBD,,,,,"5'4""",140,2/8/18,4/29/95,22,Fairfax,Va.,Old Forge,N.Y.,Town of Webb School,,,,,,,,,,
Joanne,Reid,F,Biathlon,TBD,,,,,"5'5""",115,2/8/18,6/28/92,25,Madison,Wis.,Boulder,Colo.,University of Colorado Boulder,,@Jfiresteel,,,,,,,,
Lowell,Bailey,M,Biathlon,TBD,"2006, 2010, 2014",,,,"6'1""",170,2/8/18,7/15/81,36,Siler City,N.C.,Lake Placid,N.Y.,University of Vermont,,@lowellcbailey,Yes,,,,,,,
Tim,Burke,M,Biathlon,TBD,"2006, 2010, 2014",,,,"5'11""",160,2/8/18,2/3/82,36,Plattsburgh,N.Y.,Lake Placid,N.Y.,Saranac Lake,,@tb_burke,,,,,,,,
Russell,Currier,M,Biathlon,TBD,2014,,,,"5'6""",148,2/8/18,6/26/87,30,Stockholm,Maine,Stockholm,Maine,DeVry University,,@RussellCurrier,,German,,,,,,
Sean,Doherty,M,Biathlon,TBD,2014,,,,"6'0""",168,2/8/18,6/8/95,22,Center Conway,N.H.,Center Conway,N.H.,Kennett High School,,@sp_doherty,,German,,,,,,
Leif,Nordgren,M,Biathlon,TBD,2014,,,,"6'2""",175,2/8/18,5/18/89,28,Colorado Springs,Colo.,Marine ,Minn.,DeVry University,,@leifcnordgren,,,,,,,,
Aja,Evans,F,Bobsled,Women's Two-Man/Push,2014,,,1,"5'10""",170,2/8/18,5/12/88,29,Chicago,Ill.,Chicago,Ill.,Univeristy of Illinois at Urbana-Champaign,,@AjaLEvans,,,,,,,,
Lauren,Gibbs,F,Bobsled,Women's Two-Man/Push,,,,,"5'10""",170,2/8/18,3/2/84,33,Los Angeles,Calif.,Denver ,Colo.,Pepperdine University,,@lagibbs84,,,,,,,,
Jamie,Greubel Poser,F,Bobsled,Women's Two-Man/Pilot,2014,,,1,"5'9""",162,2/8/18,11/9/83,34,Princeton,N.J.,Newtown,Pa.,Lesley University,,@jamiegreubel,,German,,,,,,
Elana,Meyers Taylor,F,Bobsled,Women's Two-Man/Pilot,"2010, 2014",,1,1,"5'7""",175,2/8/18,10/10/84,33,Oceanside,Ga.,Douglasville,Ga.,DeVry University,,@eamslider24,,,,,,,,
Hakeem,Abdul-Saboor,M,Bobsled,"Four-Man, Two-Man/Push",,,,,"6'0""",230,2/8/18,11/7/87,30,Hoboken,N.J.,Powhatan,Va.,University of Virginia at Wise,,@SaboorHakeem,,,,,,,,
Codie,Bascue,M,Bobsled,"Four-Man, Two-Man/Pilot",,,,,"5'9""",208,2/8/18,7/13/94,23,Glens Falls,N.Y.,Whitehall,N.Y.,Whitehall High School,,@codiebascue13,,,,,,,,
Nick,Cunningham,M,Bobsled,"Four-Man, Two-Man/Pilot","2010, 2014",,,,"5'11""",210,2/8/18,5/8/85,32,Los Gatos,Calif.,Monterey,Calif.,Ohio University,Sergeant - Army,@Bobsledr,,,,,,,,
Chris,Fogt,M,Bobsled,Four-Man/Push,"2010, 2014",,,1,"6'0""",205,2/8/18,5/29/83,34,Orange Park,Fla.,Alpine,Utah,Utah Valley University,Captain - Army,@christopherfogt,Yes,,,,,,,
Chris,Kinney,M,Bobsled,Four-Man/Push,,,,,"6'2""",217,2/8/18,11/9/88,29,Athens,Ga.,Stockbridge,Ga.,East Tennessee State University,,@Chrisak4298,,"Japanese, Spanish",,,,,,
Steven,Langton,M,Bobsled,Four-Man/Push,"2010, 2014",,,2,"6'3""",235,2/8/18,4/15/83,34,Boston,Mass.,Melrose,Mass.,Northeastern University,,@StevenLangton,,,,,,,,
Sam,McGuffie,M,Bobsled,"Four-Man, Two-Man/Push",,,,,"5'11""",210,2/8/18,10/16/89,28,Houston,Texas,Cypress,Texas,Rice University,,@sam_mcguffie,,,,,,,,
Sam,Michener,M,Bobsled,Four-Man/Push,,,,,"5'9""",207,2/8/18,5/24/87,30,Portland,Ore.,Gresham,Ore.,University of Idaho,,@sammichener,,,,,,,,
Justin,Olsen,M,Bobsled,"Four-Man, Two-Man/Pilot","2010, 2014",1,,,"6'2""",230,2/8/18,4/16/87,30,Lubbock,Texas,San Antonio,Texas,DeVry University,Sergeant - Army,@justinbolsen,,,,,,,,
Carlo,Valdes,M,Bobsled,Four-Man/Push,,,,,"6'2""",230,2/8/18,2/11/90,28,Newport Beach,Calif.,Newport Beach,Calif.,"University of California, Los Angeles",,@carlovaldes_usa,,,,,,,,
Nathan,Weber,M,Bobsled,Four-Man/Push,,,,,"6'2""",225,2/8/18,2/1/87,31,Bismarck,N.D.,Pueblo West,Colo.,Legacy High School,Sergeant First Class - Army,@nateweberactual,Yes,,,,,,,
Evan,Weinstock,M,Bobsled,"Four-Man, Two-Man/Push",,,,,"6'4""",215,2/8/18,10/30/91,26,Las Vegas,Nev.,Las Vegas,Nev.,Brown University,,@Evan_Weinstock,,,,,,,,
Sadie,Bjornsen,F,Cross-Country Skiing,TBD,2014,,,,"5'9""",145,2/8/18,11/21/89,28,Omak,Wash.,Winthrop,Wash.,Alaska Pacific University,,@sadzarue,,,,,,,,
Rosie,Brennan,F,Cross-Country Skiing,TBD,,,,,"5'6""",150,2/8/18,12/2/88,29,Salt Lake City,Utah,Anchorage,Alaska,Alaska Pacific University,,@rosiewbrennan,,,,,,,,
Sophie,Caldwell,F,Cross-Country Skiing,TBD,2014,,,,"5'7""",130,2/8/18,3/22/90,27,Rutland,Vt.,Peru,Vt.,Dartmouth College,,@dophed,,,,,,,,
Jessie,Diggins,F,Cross-Country Skiing,TBD,2014,,,,"5'4""",128,2/8/18,8/26/91,26,St. Paul,Minn.,Afton,Minn.,Westminster College,,@jessdiggs,,,,,,,,
Rosie,Frankowski,F,Cross-Country Skiing,TBD,,,,,"5'2""",112,2/8/18,7/30/91,26,Minneapolis,Minn.,Minneapolis,Minn.,Alaska Pacific University,,,,Spanish,,,,,,
Annie,Hart,F,Cross-Country Skiing,TBD,,,,,"5'7""",138,2/8/18,8/20/92,25,St. Paul,Minn.,Stillwater,Minn.,Dartmouth College,,@aheartmn,,,,,,,,
Kaitlynn,Miller,F,Cross-Country Skiing,TBD,,,,,"5'7""",130,2/8/18,8/9/91,26,Hillsborough,N.J.,Elmore,Vt.,Bowdoin College,,,,,,,,,,
Caitlin,Patterson,F,Cross-Country Skiing,TBD,,,,,"5'9""",132,2/8/18,1/30/90,28,McCall,Idaho,Anchorage,Alaska,University of Vermont,,,,,,,,,,
Kikkan,Randall,F,Cross-Country Skiing,TBD,"2002, 2006, 2010, 2014",,,,"5'5""",135,2/8/18,12/31/82,35,Salt Lake City,Utah,Anchorage,Alaska,Alaska Pacific University,,@kikkanimal,Yes,,,,,,,
Ida,Sargent,F,Cross-Country Skiing,TBD,2014,,,,"5'4""",125,2/8/18,1/25/88,30,Newport,Vt.,Craftsbury,Vt.,Dartmouth College,,@idasargent,,French,,,,,,
Liz,Stephen,F,Cross-Country Skiing,TBD,"2010, 2014",,,,"5'2""",105,2/8/18,1/12/87,31,East Montpelier,Vt.,East Montpelier,Vt.,Westminster College,,@lizstephen,,,,,,,,
Erik,Bjornsen,M,Cross-Country Skiing,TBD,2014,,,,"6'1""",175,2/8/18,7/14/91,26,Omak,Wash.,Winthrop,Wash.,Alaska Pacific University,,@erikbjornsen,,,,,,,,
Patrick,Caldwell,M,Cross-Country Skiing,TBD,,,,,"6'0""",170,2/8/18,2/18/94,23,Lebanon,N.H.,Lyme,N.H.,Dartmouth College,,,,,,,,,,
Simi,Hamilton,M,Cross-Country Skiing,TBD,"2010, 2014",,,,"5'11""",175,2/8/18,5/14/87,30,Aspen,Colo.,Aspen,Colo.,Middlebury College,,@simihamilton,,,,,,,,
Logan,Hanneman,M,Cross-Country Skiing,TBD,,,,,"6'1""",185,2/8/18,6/2/93,24,Fairbanks,Alaska,Fairbanks,Alaska,University of Alaska Fairbanks,,,,,,,,,,
Reese,Hanneman,M,Cross-Country Skiing,TBD,,,,,"5'11""",175,2/8/18,12/25/89,28,Fairbanks,Alaska,Fairbanks,Alaska,University of Alaska Anchorage,,@reesehanneman,,,,,,,,
Noah,Hoffman,M,Cross-Country Skiing,TBD,2014,,,,"5'9""",160,2/8/18,8/1/89,28,Denver,Colo.,Aspen,Colo.,Aspen High School,,,,,,,,,,
Tyler,Kornfield,M,Cross-Country Skiing,TBD,,,,,"6'2""",190,2/8/18,2/9/91,27,Anchorage,Alaska,Anchorage,Alaska,University of Alaska Fairbanks,,@TKxc,,,,,,,,
Andy,Newell,M,Cross-Country Skiing,TBD,"2006, 2010, 2014",,,,"5'10""",157,2/8/18,11/30/83,34,Bennington,Vt.,Shaftsbury,Vt.,Stratton Mountain School,,@andynewellskier,,,,,,,,
Scott,Patterson,M,Cross-Country Skiing,TBD,,,,,"5'11""",160,2/8/18,1/28/92,26,McCall,Idaho,Anchorage,Alaska,University of Vermont,,,,,,,,,,
Cory,Christensen,F,Curling,Team Roth/Fifth,,,,,"5'4""",115,2/8/18,12/1/94,23,Duluth,Minn.,Duluth,Minn.,University of Minnesota Duluth,,@CoryChristense4,,,,,,,,
Aileen,Geving,F,Curling,Team Roth/Second,,,,,"5'5""",132,2/8/18,2/13/87,31,Duluth,Minn.,Duluth,Minn.,University of Minnesota Duluth,,,,,,,,,,
Becca,Hamilton,F,Curling,"Team Roth/Lead, Mixed Doubles",,,,,"5'5""",167,2/8/18,7/12/90,27,Madison,Wis.,McFarland,Wis.,Edgewood College,,@heccabamilton,,,,,,,,
Tabitha,Peterson,F,Curling,Team Roth/Third,,,,,"5'4""",130,2/8/18,3/6/89,28,Burnsville,Minn.,Eagan,Minn.,University of Minnesota,,@tabcurl,,,,,,,,
Nina,Roth,F,Curling,Team Roth/Skip,,,,,"5'5""",143,2/8/18,7/21/88,29,Madison,Wis.,McFarland,Wis.,Edgewood College,,"@Spatzyc,@TeamRothUSA18",,,,,,,,
Tyler,George,M,Curling,Team Shuster/Third,,,,,"6'0""",170,2/8/18,10/6/82,35,Duluth,Minn.,Duluth,Minn.,Gustavus Adolphus College,,@tgeorge1323,,,,,,,,
Matt,Hamilton,M,Curling,"Team Shuster/Second, Mixed Doubles",,,,,"6'2""",215,2/8/18,2/19/89,28,Madison,Wis.,McFarland,Wis.,Edgewood College,,@mattjamilton,,,,,,,,
John,Landsteiner,M,Curling,Team Shuster/Lead,2014,,,,"5'10""",180,2/8/18,5/19/90,27,Mankato,Minn.,Duluth,Minn.,University of Minnesota Duluth,,@jlandsteiner,,,,,,,,
Joe,Polo,M,Curling,Team Shuster/Fifth,2006,,,1,"5'9""",195,2/8/18,12/10/82,35,Cass Lake,Minn.,Duluth,Minn.,Univeristy of North Dakota ,,@joepolo1,Yes,,,,,,,
John,Shuster,M,Curling,Team Shuster/Skip,"2006, 2010, 2014",,,1,"6'0""",200,2/8/18,11/3/82,35,Chisholm,Minn.,Chisholm,Minn.,University of Minnesota Duluth,,"@Shoostie2010,@teamshuster",Yes,,,,,,,
Karen,Chen,F,Figure Skating,Singles,,,,,"5'0""",105,2/8/18,8/16/99,18,Fremont,Calif.,Fremont,Calif.,Connections Academy,,@karebearsk8,,Mandarin ,,,,,,
Madison,Chock,F,Figure Skating,Ice Dance,2014,,,,"5'2""",108,2/8/18,7/2/92,25,Torrance,Calif.,Redondo Beach,Calif.,Schoolcraft College,,@chockolate02,,,,,,,,
Madison,Hubbell,F,Figure Skating,Ice Dance,,,,,"5'8""",150,2/8/18,2/24/91,26,Lansing,Mich.,Sylvania,Ohio,Owens Community College,,@madihubbell,,Spanish,,,,,,
Mirai,Nagasu,F,Figure Skating,Singles,2010,,,,"5'4""",125,2/8/18,4/16/93,24,Montebello,Calif.,Arcadia,Calif.,University of Colorado Colorado Springs,,@mirai_nagasu,,Japanese,,,,,,
Alexa,Scimeca Knierim,F,Figure Skating,Pairs,,,,,"5'2""",102,2/8/18,6/10/91,26,Addison,Ill.,Addison,Ill.,College of DuPage ,,"@alexa_knierim,@scimeca_knierim",,,,,,,,
Maia,Shibutani,F,Figure Skating,Ice Dance,2014,,,,"5'3""",112,2/8/18,7/20/94,23,New York,N.Y.,Ann Arbor,Mich.,University of Michigan,,"@maiashibutani, @ShibSibs",,,,,,,,
Bradie,Tennell,F,Figure Skating,Singles,,,,,"5'6""",122,2/8/18,1/31/98,20,Winnfield,Ill.,Carpentersville,Ill.,McHenry County College,,@bradie_tennell,,,,,,,,
Evan,Bates,M,Figure Skating,Ice Dance,"2010, 2014",,,,"6'1""",170,2/8/18,2/23/89,28,Ann Arbor,Mich.,Ann Arbor,Mich.,University of Michigan ,,@evan_bates,,,,,,,,
Nathan,Chen,M,Figure Skating,Singles,,,,,"5'6""",135,2/8/18,5/5/99,18,Salt Lake City,Utah,Salt Lake City,Utah,Connections Academy,,@nathanwchen,,,,,,,,
Zachary,Donohue,M,Figure Skating,Ice Dance,,,,,"6'2""",197,2/8/18,1/8/91,27,Hartford,Conn.,Madison,Conn.,Home Schooled,,@ZachTDonohue,,"French, Japanese, Russian",,,,,,
Chris,Knierim,M,Figure Skating,Pairs,,,,,"6'2""",187,2/8/18,11/5/87,30,Tuscon,Ariz.,San Diego ,Calif.,Pikes Peak Community College ,,"@chrisknierim,@Scimeca_Knierim",,,,,,,,
Adam,Rippon,M,Figure Skating,Singles,,,,,"5'7""",145,2/8/18,11/11/89,28,Scranton,Pa.,Los Angeles,Calif.,Abbington Hill School,,@Adaripp,,,,,,,,
Alex,Shibutani,M,Figure Skating,Ice Dance,2014,,,,"6'0""",160,2/8/18,4/25/91,26,Boston,Mass.,Ann Arbor,Mich.,University of Michigan,,"@AlexShibutani, @ShibSibs",,,,,,,,
Vincent,Zhou,M,Figure Skating,Singles,,,,,"5'7""",128,2/8/18,10/25/00,17,San Jose,Calif.,Palo Alto,Calif.,Connections Academy,,@govincentzhou,,Mandarin ,,,,,,
Maddie,Bowman,F,Freestyle Skiing,Halfpipe,2014,1,,,"5'1""",138,2/8/18,1/10/94,24,South Lake Tahoe,Calif.,South Lake Tahoe,Calif.,Westminster College,,@MaddieBowman,,Spanish,,,,,,
Ashley,Caldwell,F,Freestyle Skiing,Aerials,"2010, 2014",,,,"5'7""",135,2/8/18,9/14/93,24,Montgomery,Md.,Ashburn,Va.,SUNY Empire State College,,@ashleyskis,,Russian,,,,,,
Caroline,Claire,F,Freestyle Skiing,Slopestyle,,,,,"5'8""",155,2/8/18,2/2/00,18,Edina,Minn.,Manchester Center,Vt.,Stratton Mountain School,,@chrstmas_carol,,,,,,,,
Annalisa,Drew,F,Freestyle Skiing,Halfpipe,2014,,,,"5'4""",115,2/8/18,5/28/93,24,Andover,Mass.,Andover,Mass.,University of Maine,,@ANNA_DREW_,,,,,,,,
Tess,Johnson,F,Freestyle Skiing,Moguls,,,,,"5'4""",117,2/8/18,6/19/00,17,Vail,Colo.,Vail,Colo.,Vail Ski and Snowboard Academy,,,,Spanish,,,,,,
Jaelin,Kauf,F,Freestyle Skiing,Moguls,,,,,"5'4""",135,2/8/18,9/26/96,21,Vail,Colo.,Alta,Wyo.,DeVry University,,@JaeBird96,,,,,,,,
Devin,Logan,F,Freestyle Skiing,"Halfpipe, Slopestyle",2014,,1,,"5'9""",185,2/8/18,2/17/93,24,Oceanside,N.Y.,West Dover,Vt.,Westminster College,,@dlogan,,,,,,,,
Keaton,McCargo,F,Freestyle Skiing,Moguls,,,,,"5'6""",120,2/8/18,7/10/95,22,Telluride,Colo.,Telluride,Colo.,DeVry University,,@KeatonMcCargo,,,,,,,,
Kiley,McKinnon,F,Freestyle Skiing,Aerials,,,,,"5'9""",125,2/8/18,9/1/95,22,New Haven,Conn.,Madison,Conn.,Westminster College,,@Kiley_McKinnon,,,,,,,,
Madison,Olsen,F,Freestyle Skiing,Aerials,,,,,"5'7""",135,2/8/18,4/7/95,22,Salt Lake City,Utah,Park City,Utah,Westminster College,,@madisonolsen28,,,,,,,,
Morgan,Schild,F,Freestyle Skiing,Moguls,,,,,"5'7""",150,2/8/18,8/25/97,20,Rochester,N.Y.,Pittsford,N.Y.,Westminster College,,@SchildMorgan,,,,,,,,
Brita,Sigourney,F,Freestyle Skiing,Halfpipe,2014,,,,"5'7""",125,2/8/18,1/17/90,28,Monterey,Calif.,Carmel,Calif.,"University of California, Davis",,@britasig,,,,,,,,
Darian,Stevens,F,Freestyle Skiing,Slopestyle,,,,,"5'1""",130,2/8/18,10/29/96,21,Missoula,Mont.,Missoula,Mont.,Westminster College,,@StevensDarian,,Spanish,,,,,,
Maggie,Voisin,F,Freestyle Skiing,Slopestyle,2014,,,,"5'3""",125,2/8/18,12/14/98,19,Whitefish,Mont.,Whitefish,Mont.,American School,,@maggie_voisin,,,,,,,,
Casey,Andringa,M,Freestyle Skiing,Moguls,,,,,"5'11""",180,2/8/18,10/6/95,22,Milwaukee,Wis.,Boulder,Colo.,University of Colorado Boulder,,@caseyandringa6,,,,,,,,
Aaron,Blunck,M,Freestyle Skiing,Halfpipe,2014,,,,"6'0""",165,2/8/18,4/12/96,21,Englewood,Colo.,Crested Butte,Colo.,Vail Ski and Snowboard Academy,,@Aaron_Blunck,,,,,,,,
Mac,Bohonnon,M,Freestyle Skiing,Aerials,2014,,,,"5'8""",145,2/8/18,3/27/95,22,New Haven,Conn.,Madison,Conn.,University of Utah,,@macbohonnon,,,,,,,,
Alex,Ferreira,M,Freestyle Skiing,Halfpipe,,,,,"5'9""",140,2/8/18,8/14/94,23,Aspen,Colo.,Aspen,Colo.,Westminster College,,@Alex_Ferreira3,,,,,,,,
Nick,Goepper,M,Freestyle Skiing,Slopestyle,2014,,,1,"6'0""",162,2/8/18,3/14/94,23,Fort Wayne,Ind.,Lawrenceburg,Ind.,Westminster College,,@NickGoepper,,,,,,,,
Alex,Hall,M,Freestyle Skiing,Slopestyle,,,,,"6'4""",180,2/8/18,9/21/98,19,Fairbanks,Alaska,Park City,Utah,University of Utah,,,,German,,,,,,
Gus,Kenworthy,M,Freestyle Skiing,Slopestyle,2014,,1,,"5'10""",175,2/8/18,10/1/91,26,Chelmsford,England,Telluride,Colo.,New York University,,@guskenworthy,,,,,,,,
Jon,Lillis,M,Freestyle Skiing,Aerials,,,,,"5'6""",130,2/8/18,8/20/94,23,Rochester,N.Y.,Rochester,N.Y.,USSA Academy,,,,,,,,,,
Eric,Loughran,M,Freestyle Skiing,Aerials,,,,,"5'10""",165,2/8/18,4/12/95,22,Lowell,Mass.,Pelham,N.H.,USSA Academy,,@EricLoughran,,,,,,,,
Troy,Murphy,M,Freestyle Skiing,Moguls,,,,,"5'11""",165,2/8/18,6/13/92,25,Bethel,Maine,Bethel,Maine,Utah State University,,@troymurph,,,,,,,,
Emerson,Smith,M,Freestyle Skiing,Moguls,,,,,"6'1""",168,2/8/18,2/13/97,21,Buffalo,N.Y.,Dover,Vt.,Westminster College,,@ebags_world ,,,,,,,,
McRae,Williams,M,Freestyle Skiing,Slopestyle,,,,,"6'2""",175,2/8/18,10/23/90,27,Salt Lake City,Utah,Park City,Utah,Salt Lake Community College,,@McRae_Williams,,,,,,,,
Bradley,Wilson,M,Freestyle Skiing,Moguls,2014,,,,"5'10""",165,2/8/18,6/5/92,25,Butte,Mont.,Butte,Mont.,Butte Central High School,,@Wilsfreestyle,,,,,,,,
David,Wise,M,Freestyle Skiing,Halfpipe,2014,1,,,"6'1""",185,2/8/18,6/30/90,27,Reno,Nev.,Reno,Nev.,Wooster High School,,@mrDavidWise,Yes,Spanish,,,,,,
Torin,Yater-Wallace,M,Freestyle Skiing,Halfpipe,2014,,,,"5'9""",148,2/8/18,12/2/95,22,Aspen,Colo.,Basalt,Colo.,Aspen High School,,@TorinWallace,,,,,,,,
Cayla,Barnes,F,Ice Hockey,Defense,,,,,"5'1""",145,2/8/18,1/7/99,19,Eastvale,Calif.,Eastvale,Calif.,Boston College,,@cayla_barnes27,,,,,,,,
Kacey,Bellamy,F,Ice Hockey,Defense,"2010, 2014",,2,,"5'7""",145,2/8/18,4/22/87,30,Providence,R.I.,Westfield,Mass.,University of New Hampshire,,@kbells22,,,,,,,,
Hannah,Brandt,F,Ice Hockey,Forward,,,,,"5'6""",150,2/8/18,11/27/93,24,Maplewood,Minn.,Vadnais Heights,Minn.,University of Minnesota,,@hannahbrandt16,,,,,,,,
Dani,Cameranesi,F,Ice Hockey,Forward,,,,,"5'5""",148,2/8/18,6/30/95,22,Minneapolis,Minn.,Plymouth,Minn.,University of Minnesota,,@DaniCam9,,,,,,,,
Kendall,Coyne,F,Ice Hockey,Forward,2014,,1,,"5'2""",123,2/8/18,5/25/92,25,Palos Heights,Ill.,Palos Heights,Ill.,Northeastern University,,@KendallCoyne,,,,,,,,
Brianna,Decker,F,Ice Hockey,Forward,2014,,1,,"5'4""",150,2/8/18,5/13/91,26,Brookfield,Wis.,Dousman,Wis.,University of Wisconsin-Madison,,@Bdecker14,,,,,,,,
Meghan,Duggan,F,Ice Hockey,Forward,"2010, 2014",,2,,"5'10""",164,2/8/18,9/3/87,30,Beverly,Mass.,Danvers,Mass.,University of Wisconsin-Madison,,@mduggan10,,,,,,,,
Kali,Flanagan,F,Ice Hockey,Defense,,,,,"5'4""",142,2/8/18,9/19/95,22,Winchester,Mass.,Burlington,Mass.,Boston College,,@KaliFlanagan,,,,,,,,
Nicole,Hensley,F,Ice Hockey,Goalie,,,,,"5'7""",155,2/8/18,6/23/94,23,Littleton,Colo.,Lakewood,Colo.,Lindenwood University,,@NicHens29,,,,,,,,
Megan,Keller,F,Ice Hockey,Defense,,,,,"5'11""",160,2/8/18,5/1/96,21,Detroit,Mich.,Farmington,Mich.,Boston College,,@megan_keller4,,,,,,,,
