Student_ID,Age,Gender,Education_Level,City,AI_Tool_Used,Daily_Usage_Hours,Purpose,Impact_on_Grades,Satisfaction_Level
63,16,Female,College,Lahore,Grammarly,2.5,Coding,No Change,Low
64,22,Male,School,Faisalabad,Copilot,3.2,Homework,No Change,Medium
65,23,Male,College,Multan,Gemini,1.4,Research,No Change,Low
66,23,Female,School,Faisalabad,Copilot,0.6,Homework,No Change,Medium
67,22,Male,School,Faisalabad,Copilot,3.3,Writing,Slight Decline,High
68,19,Male,School,Multan,Grammarly,4.2,Homework,Improved,Medium
69,18,Male,University,Lahore,Copilot,4.2,Learning,Improved,High
70,16,Male,School,Multan,Notion AI,1.0,Homework,No Change,Medium
71,19,Male,School,Islamabad,Grammarly,3.0,Learning,Slight Decline,Low
72,19,Female,College,Faisalabad,Gemini,5.8,Learning,No Change,High
73,15,Male,University,Faisalabad,Notion AI,4.7,Homework,No Change,Low
74,22,Male,School,Multan,Notion AI,4.7,Writing,Improved,Low
75,16,Male,University,Lahore,Grammarly,4.0,Coding,Slight Decline,Low
76,23,Male,University,Multan,Copilot,2.0,Learning,Improved,Medium
77,19,Female,College,Islamabad,ChatGPT,5.7,Coding,Improved,Medium
78,16,Female,College,Lahore,Grammarly,3.2,Research,No Change,Medium
79,19,Male,College,Karachi,Notion AI,1.7,Learning,No Change,Low
80,16,Male,School,Karachi,Notion AI,4.9,Research,Improved,Low
81,25,Female,University,Lahore,ChatGPT,0.6,Learning,Improved,Medium
82,16,Male,College,Faisalabad,Gemini,4.7,Research,Slight Decline,Medium
83,23,Male,University,Multan,Gemini,1.9,Homework,No Change,Low
84,17,Male,College,Lahore,Grammarly,5.2,Learning,Slight Decline,Low
85,25,Female,College,Islamabad,Notion AI,1.7,Coding,No Change,High
86,19,Male,College,Karachi,Gemini,0.5,Coding,No Change,Low
87,17,Female,University,Lahore,Copilot,5.6,Research,Slight Decline,Medium
88,20,Female,College,Multan,ChatGPT,3.3,Homework,Improved,Low
89,15,Female,School,Multan,ChatGPT,5.0,Learning,Improved,High
90,15,Female,University,Islamabad,Copilot,1.9,Research,Slight Decline,Medium
91,16,Female,College,Islamabad,Copilot,3.9,Writing,No Change,Low
92,16,Female,University,Lahore,Grammarly,3.0,Learning,Improved,Medium
93,21,Male,School,Multan,Notion AI,2.4,Coding,Improved,High
94,21,Female,School,Islamabad,Grammarly,3.9,Homework,Improved,Low
95,23,Male,School,Multan,Gemini,5.0,Research,Improved,High
96,16,Female,School,Multan,Grammarly,5.0,Learning,Slight Decline,Medium
97,25,Female,School,Faisalabad,Gemini,1.9,Writing,No Change,Medium
98,17,Female,College,Faisalabad,Gemini,2.9,Writing,No Change,Low
99,15,Female,College,Lahore,Notion AI,3.6,Homework,Slight Decline,High
100,24,Female,School,Multan,Gemini,2.7,Learning,Improved,High
